recipe_id,recipe_name,category,cuisine,total_ingredients,main_count,secondary_count,optional_count,main_ratio,review_ok,issues
simple_pasta_marinara,Simple Pasta Marinara,main,Italian,9,2,4,3,22.22%,,
chicken_tacos,Quick Chicken Tacos,main,Mexican,13,2,5,6,15.38%,,
quick_fried_rice,Quick Fried Rice,main,Asian,8,3,4,1,37.50%,,
margherita_pizza,Margherita Pizza,main,Italian,7,4,1,2,57.14%,,
avocado_toast,Avocado Toast,breakfast,Modern,8,2,1,5,25.00%,,
themealdb_53099,Aussie Burgers,main,Australian,5,3,2,0,60.00%,,
themealdb_53257,kofta burgers,main,Turkish,11,3,5,3,27.27%,,
themealdb_53010,Lamb Tzatziki Burgers,main,Greek,11,3,8,0,27.27%,,
themealdb_53085,15-minute chicken & halloumi burgers,main,American,11,3,5,3,27.27%,,
tomato_soup,Creamy Tomato Soup,soup,American,10,3,5,2,30.00%,,
chicken_noodle_soup,Classic Chicken Noodle Soup,soup,American,12,3,8,1,25.00%,,
themealdb_53060,Burek,side,Croatian,6,3,3,0,50.00%,,
pad_thai,Easy Pad Thai,main,Thai,12,5,6,1,41.67%,,
themealdb_52819,Cajun spiced fish tacos,main,Mexican,12,4,4,4,33.33%,,
bootstrap_010,Tacos,main,Mexican,7,2,1,4,28.57%,,
themealdb_53367,Chicken Fried Rice,main,Chinese,14,3,11,0,21.43%,,
simple_scrambled_eggs,Perfect Scrambled Eggs,breakfast,American,4,2,1,1,50.00%,,
themealdb_53330,Cassava pizza,main,Venezulan,8,4,4,0,50.00%,,
themealdb_53014,Pizza Express Margherita,main,Italian,11,3,6,2,27.27%,,
themealdb_53269,Hummus,side,Turkish,5,2,3,0,40.00%,,
themealdb_53138,Alfajores,dessert,Argentinian,8,4,4,0,50.00%,,
themealdb_53064,Fettuccine Alfredo,main,Italian,6,3,3,0,50.00%,,
bootstrap_007,Chicken Stir Fry,main,Asian,7,2,5,0,28.57%,,
themealdb_53168,Chorizo & chickpea soup,main,Spanish,7,4,3,0,57.14%,,
themealdb_53078,Beetroot Soup (Borscht),main,Ukrainian,7,3,3,1,42.86%,,
themealdb_52903,French Onion Soup,side,French,10,3,7,0,30.00%,,
themealdb_52842,Broccoli & Stilton soup,appetizer,British,9,3,6,0,33.33%,,
themealdb_53122,Fiskesuppe (Creamy Norwegian Fish Soup),main,Norwegian,12,4,8,0,33.33%,,
themealdb_53077,Cabbage Soup (Shchi),main,Russian,11,4,5,2,36.36%,,
themealdb_52954,Hot and Sour Soup,main,Chinese,15,4,11,0,26.67%,,
themealdb_52844,Lasagne,main,Italian,15,3,12,0,20.00%,,
bootstrap_008,Grilled Cheese Sandwich,main,American,3,2,1,0,66.67%,,
teriyaki_chicken,Teriyaki Chicken Bowl,main,Japanese,12,3,8,1,25.00%,,
themealdb_53086,Migas,main,Spanish,4,2,2,0,50.00%,,
themealdb_52955,Egg Drop Soup,main,Chinese,10,2,8,0,20.00%,,
themealdb_53079,Fish Soup (Ukha),main,Russian,9,4,5,0,44.44%,,
themealdb_52831,Chicken Karaage,main,Japanese,9,2,7,0,22.22%,,
greek_salad,Fresh Greek Salad,salad,Mediterranean,10,4,5,1,40.00%,,
caprese_salad,Classic Caprese Salad,salad,Italian,6,3,2,1,50.00%,,
themealdb_52802,Fish pie,main,British,15,3,12,0,20.00%,,
bootstrap_006,Spaghetti Aglio e Olio,main,Italian,6,2,4,0,33.33%,,
themealdb_52895,English Breakfast,breakfast,British,7,2,5,0,28.57%,,
themealdb_52840,Clam chowder,appetizer,American,11,5,6,0,45.45%,,
themealdb_53289,"Chorba Hamra bel Frik (Algerian Lamb, Tomato, and Freekeh Soup)",main,Algerian,18,3,14,1,16.67%,,
themealdb_52896,Full English Breakfast,breakfast,British,8,3,5,0,37.50%,,
themealdb_52850,Chicken Couscous,main,Moroccan,10,6,4,0,60.00%,,
themealdb_52785,Dal fry,main,Indian,16,3,13,0,18.75%,,
themealdb_53362,Jamaican Curry Shrimp Recipe,main,Jamaican,14,3,9,2,21.43%,,
themealdb_53358,Chicken Mandi,main,Indian,15,3,12,0,20.00%,,
bootstrap_004,Overnight Oats,breakfast,International,6,2,4,0,33.33%,,
themealdb_52794,Vegan Chocolate Cake,main,American,8,4,4,0,50.00%,,
themealdb_52969,Chakchouka,main,Tunisian,11,3,8,0,27.27%,,
bootstrap_009,Caesar Salad,salad,Italian,5,2,3,0,40.00%,,
themealdb_53185,Chorizo & tomato salad,main,Spanish,6,3,3,0,50.00%,,
themealdb_53239,Bang bang prawn salad,main,Vietnamese,8,4,4,0,50.00%,,
themealdb_53267,Aubergine couscous salad,main,Turkish,8,5,3,0,62.50%,,
themealdb_53309,Cucumber & fennel salad,main,Polish,7,3,4,0,42.86%,,
themealdb_53157,Chorizo & soft-boiled egg salad,main,Spanish,7,4,3,0,57.14%,,
themealdb_53288,Algerian Flafla (Bell Pepper Salad),main,Algerian,7,3,2,2,42.86%,,
themealdb_53011,Chicken Quinoa Greek Salad,main,Greek,11,3,8,0,27.27%,,
themealdb_52940,Brown Stew Chicken,main,Jamaican,13,3,10,0,23.08%,,
themealdb_53238,Beef pho,main,Vietnamese,17,3,14,0,17.65%,,
themealdb_52855,Banana Pancakes,dessert,American,7,3,4,0,42.86%,,
themealdb_53262,Adana kebab,main,Turkish,5,2,3,0,40.00%,,
themealdb_52907,Duck Confit,main,French,6,2,4,0,33.33%,,
themealdb_53150,Padron peppers,main,Spanish,2,1,1,0,50.00%,,
themealdb_52952,Beef Lo Mein,main,Chinese,17,4,13,0,23.53%,,
themealdb_53133,Asado,main,Argentinian,4,2,1,1,50.00%,,
themealdb_53256,Cacik,side,Turkish,6,2,4,0,33.33%,,
themealdb_53317,Beef Empanadas,main,Uruguayan,18,4,12,2,22.22%,,
themealdb_52805,Lamb Biryani,main,Indian,20,3,17,0,15.00%,,
themealdb_53370,Egg Foo Young,main,Chinese,17,3,14,0,17.65%,,
themealdb_53380,Apple cake,dessert,Dutch,9,4,5,0,44.44%,,
themealdb_52982,Spaghetti alla Carbonara,main,Italian,6,2,4,0,33.33%,,
