,Simple Pasta Marinara,Quick Chicken Tacos,Quick Fried Rice,Margherita Pizza,Avocado Toast,Aussie Burgers,kofta burgers,Lamb Tzatziki Burgers,15-minute chicken & halloumi burgers,Creamy Tomato Soup,Classic Chicken Noodle Soup,Burek,Easy Pad Thai,Cajun spiced fish tacos,Tacos,Chicken Fried Rice,Perfect Scrambled Eggs,Cassava pizza,Pizza Express Margherita,Hummus
Simple Pasta Marinara,0.99999994,0.09805807,0.12499999,0.26726127,0.12499999,0.0,0.0,0.0,0.0,0.47140452,0.3061862,0.0,0.10206207,0.0,0.0,0.09449112,0.17677669,0.0,0.0,0.15811388
Quick Chicken Tacos,0.09805807,1.0,0.09805807,0.10482849,0.09805807,0.0,0.0836242,0.1672484,0.0836242,0.09245004,0.08006407,0.0,0.16012815,0.08006407,0.52414244,0.0,0.13867505,0.0,0.0,0.0
Quick Fried Rice,0.12499999,0.09805807,0.99999994,0.0,0.12499999,0.0,0.10660036,0.0,0.0,0.23570226,0.20412414,0.0,0.3061862,0.10206207,0.0,0.18898223,0.17677669,0.0,0.0,0.15811388
Margherita Pizza,0.26726127,0.10482849,0.0,1.0000002,0.13363063,0.0,0.0,0.0,0.0,0.12598817,0.2182179,0.0,0.0,0.0,0.0,0.0,0.18898225,0.13363063,0.11396059,0.0
Avocado Toast,0.12499999,0.09805807,0.12499999,0.13363063,0.99999994,0.0,0.0,0.0,0.0,0.11785113,0.10206207,0.0,0.10206207,0.0,0.0,0.0,0.35355338,0.0,0.0,0.0
Aussie Burgers,0.0,0.0,0.0,0.0,0.0,0.99999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kofta burgers,0.0,0.0836242,0.10660036,0.0,0.0,0.0,1.0,0.09090909,0.0,0.10050379,0.08703883,0.0,0.0,0.0,0.11396059,0.0805823,0.0,0.0,0.0,0.0
Lamb Tzatziki Burgers,0.0,0.1672484,0.0,0.0,0.0,0.0,0.09090909,1.0,0.0,0.0,0.0,0.0,0.0,0.08703883,0.0,0.0,0.0,0.0,0.0,0.0
15-minute chicken & halloumi burgers,0.0,0.0836242,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08703883,0.0,0.0,0.0,0.11396059,0.0,0.0,0.0,0.0,0.0
Creamy Tomato Soup,0.47140452,0.09245004,0.23570226,0.12598817,0.11785113,0.0,0.10050379,0.0,0.0,1.0,0.28867513,0.0,0.096225046,0.0,0.0,0.17817417,0.33333334,0.0,0.10050379,0.1490712
Classic Chicken Noodle Soup,0.3061862,0.08006407,0.20412414,0.2182179,0.10206207,0.0,0.08703883,0.0,0.08703883,0.28867513,1.0,0.0,0.08333333,0.0,0.0,0.23145501,0.14433756,0.0,0.0,0.12909944
Burek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy Pad Thai,0.10206207,0.16012815,0.3061862,0.0,0.10206207,0.0,0.0,0.0,0.0,0.096225046,0.08333333,0.0,1.0,0.08333333,0.0,0.07715167,0.14433756,0.0,0.0,0.12909944
Cajun spiced fish tacos,0.0,0.08006407,0.10206207,0.0,0.0,0.0,0.0,0.08703883,0.0,0.0,0.0,0.0,0.08333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tacos,0.0,0.52414244,0.0,0.0,0.0,0.0,0.11396059,0.0,0.11396059,0.0,0.0,0.0,0.0,0.0,1.0000001,0.0,0.0,0.0,0.0,0.0
Chicken Fried Rice,0.09449112,0.0,0.18898223,0.0,0.0,0.0,0.0805823,0.0,0.0,0.17817417,0.23145501,0.0,0.07715167,0.0,0.0,1.0,0.0,0.0,0.0805823,0.119522855
Perfect Scrambled Eggs,0.17677669,0.13867505,0.17677669,0.18898225,0.35355338,0.0,0.0,0.0,0.0,0.33333334,0.14433756,0.0,0.14433756,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cassava pizza,0.0,0.0,0.0,0.13363063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999,0.10660036,0.0
Pizza Express Margherita,0.0,0.0,0.0,0.11396059,0.0,0.0,0.0,0.0,0.0,0.10050379,0.0,0.0,0.0,0.0,0.0,0.0805823,0.0,0.10660036,1.0,0.0
Hummus,0.15811388,0.0,0.15811388,0.0,0.0,0.0,0.0,0.0,0.0,0.1490712,0.12909944,0.0,0.12909944,0.0,0.0,0.119522855,0.0,0.0,0.0,0.99999994
